Electorate,PollingPlaceName,VenueName,Address,Locality
Albert Park,Bridport,Albert Park Primary School,Bridport St (access via Cardigan Place)    ,Albert Park
Albert Park,Kerferd South,Middle Park Primary School,Richardson St (access via Mills Street)    ,Middle Park
Albert Park,Middle Park,Middle Park Bowling Club,Canterbury Rd (access via Armstrong Street)    ,Middle Park
Albert Park,Port Melbourne,Port Melbourne Primary School,415 Graham St       ,Port Melbourne
Albert Park,Port Melbourne East,Sol Green Community Centre,corner Montague and Coventry Streets     ,South Melbourne
Albert Park,Port Melbourne West,Port Phillip Specialist School,127 Nott St (access via Farrell Street)   ,Port Melbourne
Albert Park,Sandridge,Fishermens Bend Community Hall,corner Dunstan Pde and Centre Ave    ,Port Melbourne
Albert Park,South Melbourne,South Melbourne Town Hall,208 Bank St       ,South Melbourne
Albert Park,Southbank,Malthouse Theatre - Beckett Theatre,113 Sturt St       ,Southbank
Albert Park,St Kilda,St Kilda Town Hall,corner Carlisle St and Brighton Rd    ,St Kilda
Albert Park,St Kilda Park,St Kilda Park Primary School,68 Fitzroy St       ,St Kilda
Albert Park,St Kilda South,Cora Graves Centre,38 Blessington St       ,St Kilda
Altona,Alamanda,Alamanda K-9 College,86-100 Alamanda Blvd       ,Point Cook
Altona,Altona,Altona Primary School,109 Blyth St       ,Altona
Altona,Altona Bay,Altona Green Primary School,240 Victoria St       ,Altona Meadows
Altona,Altona Meadows,Altona Meadows Primary School,78-88 Alma Ave       ,Altona Meadows
Altona,Altona Meadows CC,Altona Meadows Community Centre,28 Trafalgar Ave       ,Altona Meadows
Altona,Altona West,Altona P-9 College,103A Grieve Pde (access via Civic Parade)   ,Altona
Altona,Boardwalk,Carranballac P-9 College - Boardwalk Campus,corner Dunnings Rd and Foxwood Drive    ,Point Cook
Altona,Jamieson Way,Carranballac P-9 College - Jamieson Way Campus,Jamieson Way        ,Point Cook
Altona,Laverton,Laverton Community Hub,95-105 Railway Ave (access via Crown Street)   ,Laverton
Altona,Laverton North,Laverton P-12 College,91 Bladin St       ,Laverton
Altona,Point Cook North,Point Cook P-9 College,18-50 Ponsford Drive (access via Tom Roberts Prd)  ,Point Cook
Altona,Seabrook,Seabrook Primary School,83-105 Point Cook Rd      ,Seabrook
Altona,Seabrook Central,Seabrook Community Centre,15 Truganina Ave       ,Seabrook
Altona,Seaholme,Seaholme Primary School,Civic Pde        ,Altona
Bass,Bass,Bass Valley Community Centre,corner Bass Hwy and Bass School Rd   ,Bass
Bass,Bayles,Bayles Hall,Koo Wee Rup - Longwarry Rd    ,Bayles
Bass,Cape Paterson,Cape Paterson Community Hall,Cape Paterson Rd       ,Cape Paterson
Bass,Catani,Catani Recreation Reserve,Taplins Rd        ,Catani
Bass,Clyde,Clyde Primary School,Oroya Grove        ,Clyde
Bass,Corinella,Corinella Public Hall,38-44 Smythe St       ,Corinella
Bass,Cowes,Cowes Primary School,177 Settlement Rd       ,Cowes
Bass,Dalyston,Powlett River Primary School,82-96 Daly St       ,Dalyston
Bass,Grantville,Grantville Hall,Bass Hwy        ,Grantville
Bass,Inverloch,Inverloch Community Hub,A'Beckett St        ,Inverloch
Bass,Kilcunda,Kilcunda Community Centre,3513-3515 Bass Hwy       ,Kilcunda
Bass,Koo Wee Rup,Koo Wee Rup Community Centre,Rossiter Rd        ,Koo Wee Rup
Bass,Lakeside East,Lakeside Lutheran College,2 Portobello Rd       ,Pakenham
Bass,Lang Lang,Lang Lang Primary School,52 Westernport Rd       ,Lang Lang
