Electorate,PollingPlaceName,OldAddress,NewAddress
Albert Park,Port Melbourne West,"127 Nott St (access via Farrell St), Port Melbourne","83 Danks St, Albert Park"
Albert Park,Southbank,"113 Sturt St, Southbank","57 Miles St, Southbank"
Bass,Clyde,"Oroya Grove, Clyde","30 Railway Rd, Clyde"
Bass,Dalyston,"82-96 Daly St, Dalyston","Tulloch St, Dalyston"
Bayswater,Boronia North,"Landscape Dr (access via Montana Ave), Boronia","30 Lockwoods Rd, Boronia"
Bellarine,Collendina,"Shell Rd, Ocean Grove","17 Tareeda Way, Ocean Grove"
Bellarine,Ocean Grove,"21-23 Draper St, Ocean Grove","Cnr Wallington Rd and Lake Ave, Ocean Grove"
Bellarine,Queenscliff,"50 Learmonth St, Queenscliff","Stokes St, Queenscliff"
Benambra,Tallangatta,"Akuna Ave, Tallangatta","Towong St and Banool Rd, Tallangatta"
Bendigo East,Spring Gully,"104 - 110 Spring Gully Rd, Bendigo","Spring Gully Rd, Spring Gully"
Bendigo West,California Gully,"Upper California Gully Rd, California Gully","41730 Staley St, California Gully"
Bendigo West,Maiden Gully,"711 Calder Hwy, Maiden Gully","10 Carolyn Way, Maiden Gully"
Box Hill,Balwyn,"3 Brenbeal St, Balwyn","517 Whitehorse Rd, Balwyn"
Box Hill,Middlefield,"60 Springfield Rd, Blackburn","cnr Adina and Lantana Sts, Blackburn North"
Brighton,Gardenvale,"cnr North Rd and Cochrane St, Brighton","74-80 Martin St, Brighton"
Bulleen,Templestowe,"104 Atkinson St, Templestowe","cnr Foote & Anderson Sts, Templestowe"
Buninyong,Mount Wallace,"Mount Wallace Hall Lane, Mount Wallace","10 Brisbane Ranges Rd, Mount Wallace"
Buninyong,Springbank,"738 Springbank Rd, Springbank","Ormond Rd, Wallace"
Burwood,Ashwood,"Vannam Dr, Ashwood","50 Vannam Dr Block B, Ashwood"
Caulfield,Caulfield West,"281 Glen Eira Rd, Caulfield North","3 Hood Crescent, Caulfield"
Caulfield,Clarence,"406 Kooyong Rd, Caulfied South","450 Kooyong Rd (acc Jupiter St), Caulfield South"
Clarinda,Heatherton North,"3 Washington Dr, Oakleigh South","96 Bunney Rd, Clayton South"
Clarinda,Westall,"17 Fairbank Rd, Clayton South","88 Rosebank Ave, Clayton South"
Cranbourne,Clyde,"Oroya Grove, Clyde","30 Railway Rd, Clyde"
Croydon,Civic Square,"cnr Mt Dandenong Rd and Civic Square, Croydon","9 Civic Square, Croydon"
Croydon,Croydon Central,"Croydon Rd, Croydon","cnr Kent Ave and Croydon Rd, Croydon"
Eildon,Mansfield,"35 Highett St, Mansfield","39 Malcolm St, Mansfield"
Eildon,Narbethong,"606 Maroondah Hwy, Narbethong","Maroondah Hwy, Narbethong"
Essendon,Strathmore,"Lloyd St, Strathmore","400 Pascoe Vale Rd, Strathmore"
Euroa,Euroa,"Bury St, Euroa","1B Bury St, Euroa"
Euroa,Thoona,"15 Johnston St, Thoona","Sargeant St, Thoona"
Evelyn,Lilydale,"Jones St, Lilydale","cnr Jones St & Castella St, Lilydale"
Ferntree Gully,Ferntree Gully North,"Hutton Ave, Ferntree Gully","111 Forest Rd, Ferntree Gully"
Frankston,Baden Powell,"Humphries Rd, Frankston South","cnr Baden Powell Dr & Humphries Rd, Frankston South"
Geelong,Belmont,"12 Rotherham St, Belmont","183 Roslyn Rd, Belmont"
Geelong,St Albans Park,"276-282 Wilsons Rd, St Albans Park","50 Westmoreland St, St Albans Park"
Gippsland East,Meerlieu,"Bengworden Rd, Meerlieu","1455 Lindenow-Meerlieu Rd, Meerlieu"
Gippsland East,Metung,"cnr Stirling Rd and King St, Metung","90 Stirling Rd, Metung"
Gippsland East,Paynesville,"31-47 Ashley St, Paynesville","55 The Esplanade, Paynesville"
Gippsland South,Meeniyan,"Geale St, Meeniyan","6 Geale St, Meeniyan"
Hawthorn,Hawthorn,"2 Denham St, Hawthorn","16 Burwood Rd, Hawthorn"
Ivanhoe,Eaglemont,"43196 King St, Ivanhoe East","cnr of Oriel Rd and Banksia St, Bellfield"
Ivanhoe,Fairy Hills,"The Ridgeway, Ivanhoe","The Ridgeway (Gate 13), Ivanhoe"
Ivanhoe,Golf Links,"Interlaken Pde, Rosanna","232 Lower Plenty Rd, Rosanna"
Kew,Balwyn North Central,"49 Bulleen Rd, Balwyn North","2 Marwal Ave, Balwyn North"
Lara,Corio Central,"167-169 Purnell Rd, Corio","Wexford Crt, Corio"
Lara,Hamlyn Heights,"19-35 Quamby Ave, Hamlyn Heights","37-61 Vines Rd, Hamlyn Heights"
Lara,St Helens,"60 Victoria St, Rippleside","110 Victoria St, North Geelong"
Lowan,Laharum,"1574 Northern Grampians Rd, Laharum","1587 Northern Grampians Rd, Laharum"
Macedon,Clarkefield,"1202 Lancefield Rd, Clarkefield","Station St, Clarkefield"
Malvern,Darling,"172 Burke Rd, Glen Iris","Harold Ave, Glen Iris"
Malvern,Kooyong,"454 Glenferrie Rd, Kooyong","458 Glenferrie Rd, Kooyong"
Melbourne,Carlton,"cnr Palmerston and Drummond Sts, Carlton","215 Rathdowne St, Carlton"
Melbourne,East Melbourne,"cnr Albert and Eades Sts, East Melbourne","110 Grey St, East Melbourne"
Melbourne,Melbourne,"Lvl 9/300 Flinders St, Melbourne","120 Collins St, Melbourne"
Melton,Melton Central,"1 McKenzie St, Melton","238 High St, Melton"
Melton,Melton West,"4 Westmelton Dr, Melton West","207 Coburns Rd, Melton West"
Mildura,Piangil,"41 High St, Piangil","Hall St, Piangil"
Mildura,Sunnycliffs,"Sunnycliffs Crescent, Red Cliffs","3208 Fifteenth St, Irymple"
Mildura,Walpeup,"14 Glen St, Walpeup","Richardson St, Walpeup"
Mordialloc,Chelsea,"316 Station St, Chelsea","3 Showers Ave, Chelsea"
Morwell,Newborough East,"72-96 Newark Ave, Newborough","300 Old Sale Rd, Newborough"
Mulgrave,Silverton,"77-123 Jacksons Rd, Noble Park North","111 Bakers Rd, Dandenong North"
Murray Plains,Echuca South,"50-62 Mackenzie St, Echuca","238 High St, Echuca"
Narracan,Warragul,"96 Victoria St, Warragul","48 - 62 Bowen St, Warragul"
Narracan,Warragul East,"2a Mouritz St, Warragul","1 Mouritz St, Warragul"
Niddrie,Niddrie,"cnr Roberts Rd and Glenys Ave, Airport West","72 Roberts Rd, Airport West"
Niddrie,Niddrie Central,"6 Teague St (access via Muriel St), Niddrie","Sapphire St, Niddrie"
Northcote,Northcote,"189 High St, Northcote","50 Separation St, Northcote"
Oakleigh,Sussex Heights,"Solomon St, Mount Waverley","36 Solomon St, Mount Waverley"
Ovens Valley,Invergordon,"1292 Invergordon Rd, Invergordon","Batey Dr, Invergordon"
Pascoe Vale,Coburg North,"180 O'Hea St, Coburg","187-195 Gaffney St, Coburg North"
Polwarth,Apollo Bay,"Costin St, Apollo Bay","4 Whelan St, Apollo Bay"
Polwarth,Colac West,"43155 Ligar St, Colac West","238 Wilson St, Colac"
Polwarth,Peterborough,"20 Schomberg Rd, Peterborough","19 Macs St, Peterborough"
Polwarth,Teesdale,"Sutherland St, Teesdale","1109 Bannockburn-Shelford Rd, Teesdale"
Polwarth,Timboon,"Hamilton St, Timboon","57 Bailey St (Hamilton St entrance), Timboon"
Prahran,Fawkner Park,"601 Punt Rd, South Yarra","677 Punt Rd, South Yarra"
Prahran,St Kilda East,"2 Chapel St, St Kilda","25 Chapel St, St Kilda"
Preston,Keon Park,"75 Arundel Ave, Reservoir","43282 Dole Ave, Reservoir"
Richmond,Atherton Gardens,"201 Napier St, Fitzroy","250 George St, Fitzroy"
Ripon,Carisbrook,"19 Bucknall St, Carisbrook","2 Camp St, Carisbrook"
Ripon,St Arnaud,"40 Napier St, St Arnaud","Golden St, St Arnaud"
Rowville,Park Ridge,"Humphreys Way, Rowville","21 Wentworth Ave, Rowville"
Rowville,Rowville East,"2 Taylor's Lane, Rowville","61 Turramurra Dr, Rowville"
South Barwon,Ceres,"605 Barrabool Rd, Ceres","McCann St, Ceres"
South Barwon,Grovedale,"19 Wingarra Dr, Grovedale","85 Heyers Rd, Grovedale"
Sunbury,Melbourne Airport,"Airport Dr, Melbourne Airport","Virgin Terminal T3 (Mezzanine Floor) Airport Dr, Melbourne Airport"
Sunbury,Sunbury Heights,"Mitchells Lane, Sunbury","Charter Rd East, Sunbury"
Sydenham,Springside,"Becca Way, Caroline Springs","22-50 Becca Way, Caroline Springs"
Thomastown,Epping North,"47 Farmhouse Blvd, Epping North","2 Snugburgh Way, Epping"
Thomastown,Lalor West,"2 Lascelles Dr, Lalor West","134 Kingsway Dr, Lalor"
Warrandyte,Warrandyte South,"58-64 Hall Rd, Warrandyte South","66 Hall Rd, Warranwood"
Wendouree,Delacombe,"110-120 Greenhalghs Rd, Delacombe","16 Nandiriog Dr, Delacombe"
Wendouree,Wendouree East,"College St, Wendouree","Cnr Creswick Rd and Howitt St., Wendouree East"
Williamstown,Altona North,"387-389 Mason St (access via Fourth Ave), Altona North","51 Cresser St, Altona North"
Williamstown,Brooklyn,"29-45 Millers Rd, Brooklyn","41730 Nolan Ave, Brooklyn"
